"business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category"
5999,"The Salvation Army","1156 Valencia St","San Francisco","CA","94110",37.754397,-122.420915,"POINT (-122.420915 37.754397)","14155640260","5999_20170109","2017-01-09",94,"Routine - Unscheduled","5999_20170109_103161","Low risk vermin infestation","Low Risk"
9679,"Eastern Bakery Inc","720 Grant Ave","San Francisco","CA","94108",37.793598,-122.406097,"POINT (-122.406097 37.793598)",NULL,"9679_20180608","2018-06-08",63,"Routine - Unscheduled","9679_20180608_103114","High risk vermin infestation","High Risk"
59934,"Ted's Sports Bar & Grill","312 HARRIET St","San Francisco","CA","94103",37.775357,-122.402758,"POINT (-122.402758 37.775357)",NULL,"59934_20190508","2019-05-08",90,"Routine - Unscheduled","59934_20190508_103131","Moderate risk vermin infestation","Moderate Risk"
94347,"Mayah's Restaurant Cafe","550 15th St","San Francisco","CA","94103",NULL,NULL,NULL,"14155570295","94347_20180308","2018-03-08",90,"Routine - Unscheduled","94347_20180308_103131","Moderate risk vermin infestation","Moderate Risk"
2031,"KENMORE RESIDENCE CLUB","1570 SUTTER St","San Francisco","CA","94109",37.787017,-122.426234,"POINT (-122.426234 37.787017)","14155775815","2031_20190717","2019-07-17",83,"Routine - Unscheduled","2031_20190717_103114","High risk vermin infestation","High Risk"
36378,"Work of Art Catering","1226 FOLSOM St","San Francisco","CA","94103",37.774691,-122.410535,"POINT (-122.410535 37.774691)",NULL,"36378_20190910","2019-09-10",90,"Routine - Unscheduled","36378_20190910_103131","Moderate risk vermin infestation","Moderate Risk"
24572,"S & T Hong Kong Seafood","2588 Noriega St","San Francisco","CA","94122",37.753608,-122.491313,"POINT (-122.491313 37.753608)",NULL,"24572_20171004","2017-10-04",NULL,"Reinspection/Followup","24572_20171004_103114","High risk vermin infestation","High Risk"
16286,"Starbucks Coffee (Store #9743)","425 Battery St","San Francisco","CA","94111",37.795366,-122.400435,"POINT (-122.400435 37.795366)",NULL,"16286_20190520","2019-05-20",94,"Routine - Unscheduled","16286_20190520_103161","Low risk vermin infestation","Low Risk"
7087,"VALENCIA FARMER'S MARKET","1299 VALENCIA St","San Francisco","CA","94110",37.752162,-122.420585,"POINT (-122.420585 37.752162)","14155286863","7087_20170817","2017-08-17",90,"Routine - Unscheduled","7087_20170817_103161","Low risk vermin infestation","Low Risk"
2293,"GOLD MIRROR ITALIAN RESTAURANT","800 TARAVAL","San Francisco","CA","94116",37.743118,-122.474802,"POINT (-122.474802 37.743118)",NULL,"2293_20190905","2019-09-05",90,"Routine - Unscheduled","2293_20190905_103161","Low risk vermin infestation","Low Risk"
